Time,Pressure_bar
0.000000,-85.235459
0.020000,-85.195261
0.040000,-85.208661
0.060000,-85.034472
0.080000,-85.436445
0.100000,-85.208661
0.120000,-85.235459
0.140000,-85.222060
0.160000,-85.181862
0.180000,-85.222060
0.200000,-85.047871
0.220000,-85.195261
0.240000,-85.195261
0.260000,-85.195261
0.280000,-85.208661
0.300000,-85.168463
0.320000,-85.208661
0.340000,-85.034472
0.360000,-85.436445
0.380000,-85.181862
0.400000,-85.181862
0.420000,-85.449845
0.440000,-85.181862
0.460000,-85.222060
0.480000,-85.047871
0.500000,-85.423046
0.521000,-85.208661
0.540000,-85.208661
0.560000,-85.208661
0.580000,-85.168463
0.600000,-85.208661
0.620000,-85.208661
0.640000,-85.449845
0.660000,-85.195261
0.680000,-85.195261
0.703000,-85.222060
0.721000,-85.208661
0.740000,-85.222060
0.760000,-85.021073
0.780000,-85.436445
0.800000,-85.248858
0.820000,-85.061270
0.840000,-85.208661
0.860000,-85.181862
0.880000,-85.248858
0.900000,-85.061270
0.920000,-85.181862
0.940000,-85.222060
0.960000,-85.195261
0.980000,-85.222060
1.000000,-85.181862
1.020000,-85.034472
1.040000,-85.168463
1.060000,-85.396248
1.080000,-85.195261
1.100000,-85.208661
1.120000,-85.449845
1.140000,-85.181862
1.160000,-85.208661
1.180000,-85.034472
1.200000,-85.423046
1.220000,-85.208661
1.240000,-85.195261
1.260000,-85.235459
1.280000,-85.168463
1.300000,-85.195261
1.320000,-85.222060
1.340000,-85.436445
1.360000,-85.208661
1.380000,-85.208661
1.400000,-85.222060
1.420000,-85.181862
1.440000,-85.222060
1.460000,-85.061270
1.480000,-85.409647
1.500000,-85.208661
1.520000,-85.034472
1.540000,-85.222060
1.560000,-85.195261
1.580000,-85.222060
1.600000,-85.074669
1.620000,-85.195261
1.640000,-85.208661
1.660000,-85.195261
1.680000,-85.235459
1.700000,-85.168463
1.720000,-85.195261
1.740000,-85.047871
1.760000,-85.423046
1.784000,-85.181862
1.801000,-85.195261
1.820000,-85.409647
1.840000,-85.195261
1.860000,-85.235459
1.880000,-85.047871
1.900000,-85.436445
1.920000,-85.235459
1.940000,-85.181862
1.960000,-85.235459
1.980000,-85.181862
2.000000,-85.195261
2.020000,-85.208661
2.040000,-85.449845
2.060000,-85.222060
2.080000,-85.181862
2.100000,-85.235459
2.120000,-85.208661
2.140000,-85.222060
2.160000,-85.021073
2.180000,-85.423046
2.200000,-85.195261
2.220000,-85.061270
2.240000,-85.208661
2.260000,-85.195261
2.280000,-85.208661
2.300000,-85.061270
2.320000,-85.168463
2.340000,-85.195261
2.360000,-85.181862
2.380000,-85.208661
2.400000,-85.155064
2.420000,-85.208661
2.440000,-85.034472
2.460000,-85.409647
2.480000,-85.208661
2.500000,-85.195261
2.520000,-85.449845
2.540000,-85.155064
2.560000,-85.222060
2.580000,-85.061270
2.600000,-85.423046
2.620000,-85.195261
2.640000,-85.222060
2.660000,-85.208661
2.680000,-85.181862
2.700000,-85.222060
2.720000,-85.222060
2.740000,-85.463244
2.760000,-85.208661
2.780000,-85.208661
2.800000,-85.222060
2.820000,-85.449845
